Số Báo Danh, Họ và Tên, Toán, Ngữ Văn, Vật Lý, Hóa Học, Sinh Học, Lịch Sử, Địa Lý, GDCD, KHTN, KHXH, Ngoại Ngữ, Ghi Chú, Tỉnh
HT1200001,,9.0,7.75,,,,6.0,8.5,9.0,,,9.4,N1,Ha Tinh
HT1200002,,5.4,7.5,,,,2.75,5.5,7.5,,,2.0,N1,Ha Tinh
HT1200003,,3.6,6.25,,,,5.0,5.0,7.0,,,3.2,N1,Ha Tinh
HT1200004,,4.4,5.0,,,,1.75,3.0,5.0,,,2.6,N1,Ha Tinh
HT1200005,,7.4,6.5,6.75,5.0,4.75,,,,,,7.2,N1,Ha Tinh
HT1200006,,5.2,7.5,,,,6.5,7.25,8.75,,,3.8,N1,Ha Tinh
HT1200007,,8.6,6.5,5.25,3.75,3.5,,,,,,2.8,N1,Ha Tinh
HT1200008,,5.6,5.5,,,,4.75,6.0,,,,,,Ha Tinh
HT1200009,,5.8,,3.25,3.0,,,,,,,2.8,N1,Ha Tinh
HT1200010,,5.4,6.75,,,,5.0,8.0,7.5,,,2.6,N1,Ha Tinh
HT1200011,,4.2,6.5,,,,4.25,6.0,6.5,,,6.2,N1,Ha Tinh
HT1200012,,7.0,6.25,7.25,6.0,5.5,,,,,,3.8,N1,Ha Tinh
HT1200013,,5.2,5.5,,,,4.75,6.75,7.75,,,3.0,N1,Ha Tinh
HT1200014,,4.6,4.75,,,,3.75,6.75,8.25,,,3.8,N1,Ha Tinh
HT1200015,,5.6,5.25,,,,2.75,8.25,8.5,,,3.0,N1,Ha Tinh
HT1200016,,3.6,3.0,2.5,3.75,2.5,3.75,5.5,6.25,,,2.0,N1,Ha Tinh
HT1200017,,9.6,6.75,9.5,9.0,4.5,,,,,,7.6,N1,Ha Tinh
HT1200018,,7.8,6.5,5.25,5.25,5.75,,,,,,6.0,N1,Ha Tinh
HT1200019,,7.8,6.75,6.75,7.75,5.75,,,,,,4.0,N1,Ha Tinh
HT1200020,,4.2,5.0,,,,4.5,7.75,8.0,,,2.2,N1,Ha Tinh
HT1200021,,6.6,8.0,,,,4.0,7.75,7.25,,,5.8,N1,Ha Tinh
HT1200022,,2.4,4.75,,,,2.5,4.75,,,,,,Ha Tinh
HT1200023,,8.6,8.0,,,,6.0,7.0,9.25,,,8.4,N1,Ha Tinh
HT1200024,,5.6,5.0,,,,3.5,4.75,7.0,,,2.2,N1,Ha Tinh
HT1200025,,9.2,7.0,8.0,5.25,4.25,,,,,,9.6,N1,Ha Tinh
HT1200026,,4.0,4.5,,,,1.75,5.5,6.25,,,2.6,N1,Ha Tinh
