Số Báo Danh, Họ và Tên, Toán, Ngữ Văn, Vật Lý, Hóa Học, Sinh Học, Lịch Sử, Địa Lý, GDCD, KHTN, KHXH, Ngoại Ngữ, Ghi Chú, Tỉnh
HT1203433,,7.6,9.0,,,,4.75,6.75,8.25,,,7.6,N1,Ha Tinh
HT1207186,,9.0,9.0,,,,6.5,7.75,7.25,,,9.2,N1,Ha Tinh
HT1203613,,8.4,9.0,,,,5.25,7.75,9.5,,,8.8,N1,Ha Tinh
HT1205911,,4.6,9.0,,,,9.0,8.75,8.75,,,5.0,N1,Ha Tinh
HT1203259,,7.8,8.75,,,,6.75,7.0,9.0,,,4.8,N1,Ha Tinh
HT1200550,,9.2,8.75,,,,,,,,,8.4,N1,Ha Tinh
HT1200896,,7.6,8.75,,,,6.5,8.25,8.75,,,5.0,N1,Ha Tinh
HT1202631,,7.4,8.75,,,,4.5,5.25,7.25,,,6.0,N1,Ha Tinh
HT1206071,,5.8,8.75,,,,7.25,8.0,9.0,,,5.2,N1,Ha Tinh
HT1205684,,9.0,8.75,,,,6.75,7.5,7.5,,,8.8,N1,Ha Tinh
HT1207858,,6.4,8.75,,,,9.5,8.5,9.0,,,5.4,N1,Ha Tinh
HT1205941,,8.8,8.75,,,,3.25,5.75,9.0,,,8.8,N1,Ha Tinh
HT1200358,,4.4,8.75,,,,6.5,7.25,7.25,,,4.8,N1,Ha Tinh
HT1202472,,8.4,8.75,,,,6.0,4.5,7.25,,,9.4,N1,Ha Tinh
HT1206840,,8.6,8.75,,,,,,,,,8.2,N1,Ha Tinh
HT1207949,,7.4,8.75,,,,4.75,7.75,8.5,,,5.0,N1,Ha Tinh
HT1208003,,8.6,8.5,,,,8.5,8.0,9.25,,,5.8,N1,Ha Tinh
HT1206069,,6.2,8.5,,,,6.0,6.25,8.0,,,4.8,N1,Ha Tinh
HT1200065,,7.0,8.5,,,,7.5,8.0,8.75,,,4.2,N1,Ha Tinh
HT1202937,,6.4,8.5,,,,8.0,8.25,9.25,,,3.8,N1,Ha Tinh
HT1201038,,8.0,8.5,,,,9.5,7.75,8.25,,,4.6,N1,Ha Tinh
HT1208297,,7.0,8.5,,,,5.25,7.0,9.5,,,5.0,N1,Ha Tinh
HT1201314,,4.8,8.5,,,,9.25,9.0,7.0,,,5.8,N1,Ha Tinh
HT1205928,,8.0,8.5,,,,4.75,7.75,8.75,,,6.2,N1,Ha Tinh
HT1204486,,6.8,8.5,,,,8.25,8.5,8.0,,,4.6,N1,Ha Tinh
HT1202583,,7.0,8.5,,,,9.25,9.0,9.0,,,6.6,N1,Ha Tinh
HT1203320,,7.8,8.5,4.75,7.5,5.25,,,,,,3.2,N1,Ha Tinh
HT1207033,,7.0,8.5,5.75,4.25,5.75,,,,,,4.4,N1,Ha Tinh
HT1203703,,3.0,8.5,,,,9.5,8.75,6.5,,,4.2,N1,Ha Tinh
HT1202891,,6.8,8.5,,,,8.5,9.25,8.5,,,5.6,N1,Ha Tinh
HT1204068,,6.0,8.5,,,,7.25,8.75,9.25,,,4.8,N1,Ha Tinh
HT1206509,,7.4,8.5,,,,8.0,8.75,9.25,,,6.8,N1,Ha Tinh
HT1207667,,8.0,8.5,,,,6.0,7.25,9.0,,,9.0,N1,Ha Tinh
HT1206635,,6.0,8.5,,,,5.75,8.25,8.5,,,6.8,N1,Ha Tinh
HT1208125,,6.2,8.5,,,,10.0,9.0,6.0,,,7.6,N1,Ha Tinh
HT1208008,,6.0,8.5,,,,7.25,8.5,8.0,,,4.4,N1,Ha Tinh
HT1205492,,4.6,8.5,,,,8.75,9.5,7.25,,,6.0,N1,Ha Tinh
HT1207252,,9.0,8.5,,,,4.5,6.75,7.25,,,6.4,N1,Ha Tinh
HT1205488,,7.8,8.5,,,,3.0,7.25,6.0,,,9.2,N1,Ha Tinh
HT1207719,,8.0,8.5,6.25,6.75,5.0,,,,,,6.0,N1,Ha Tinh
HT1204415,,6.6,8.5,,,,8.25,8.5,9.0,,,6.4,N1,Ha Tinh
HT1206612,,7.0,8.5,,,,7.75,8.0,8.75,,,6.4,N1,Ha Tinh
HT1207389,,7.0,8.5,,,,4.75,5.25,8.5,,,5.8,N1,Ha Tinh
HT1205561,,8.4,8.5,,,,5.5,7.5,8.75,,,8.0,N1,Ha Tinh
HT1202363,,7.4,8.5,,,,5.0,6.5,7.25,,,9.6,N3,Ha Tinh
HT1206201,,7.8,8.5,,,,5.5,8.25,9.25,,,5.2,N1,Ha Tinh
HT1203847,,6.2,8.5,,,,6.0,8.75,8.0,,,5.6,N1,Ha Tinh
HT1200887,,6.4,8.5,,,,10.0,9.5,7.75,,,6.8,N1,Ha Tinh
HT1205366,,,8.5,,,,9.0,8.5,7.5,,,8.8,N1,Ha Tinh
HT1201688,,,8.5,,,,8.75,6.5,7.5,,,3.6,N1,Ha Tinh
HT1205027,,5.0,8.5,,,,4.25,7.5,8.75,,,6.0,N1,Ha Tinh
HT1205026,,3.6,8.5,,,,9.75,9.25,7.25,,,3.4,N1,Ha Tinh
HT1201725,,6.8,8.5,,,,5.5,7.0,6.75,,,7.6,N1,Ha Tinh
HT1203032,,4.2,8.5,,,,7.0,7.75,6.75,,,3.6,N1,Ha Tinh
HT1201921,,6.8,8.5,,,,5.5,7.0,7.0,,,6.2,N1,Ha Tinh
HT1202349,,5.2,8.5,,,,4.5,6.5,8.0,,,4.4,N1,Ha Tinh
HT1208317,,6.4,8.5,,,,7.0,8.5,8.75,,,4.6,N1,Ha Tinh
HT1207263,,7.0,8.5,5.25,5.5,5.25,,,,,,7.6,N1,Ha Tinh
HT1200944,,6.4,8.5,,,,3.0,5.5,7.25,,,3.6,N6,Ha Tinh
HT1201180,,6.8,8.5,,,,2.25,4.0,5.25,,,5.0,N1,Ha Tinh
HT1206304,,6.8,8.5,,,,9.25,7.5,9.5,,,5.4,N1,Ha Tinh
HT1207257,,7.2,8.5,,,,9.25,9.0,9.0,,,2.8,N1,Ha Tinh
HT1203554,,6.2,8.5,,,,3.0,5.25,8.0,,,6.4,N1,Ha Tinh
HT1205962,,6.2,8.5,,,,6.75,7.25,7.5,,,4.6,N1,Ha Tinh
HT1201202,,7.2,8.5,,,,5.0,6.0,7.0,,,6.2,N1,Ha Tinh
HT1204329,,7.4,8.5,,,,8.25,7.75,7.5,,,4.0,N1,Ha Tinh
HT1207346,,7.2,8.5,,,,3.0,5.0,7.0,,,5.6,N1,Ha Tinh
HT1208350,,5.0,8.5,,,,6.5,8.5,9.5,,,5.6,N1,Ha Tinh
HT1200904,,4.0,8.5,,,,9.25,9.25,6.0,,,6.0,N1,Ha Tinh
HT1206719,,8.4,8.5,7.0,2.75,4.5,4.5,8.25,7.5,,,8.4,N1,Ha Tinh
HT1204843,,4.2,8.5,,,,7.75,9.75,6.0,,,3.6,N1,Ha Tinh
HT1203645,,7.4,8.25,6.75,5.25,5.25,,,,,,8.4,N1,Ha Tinh
HT1207893,,8.2,8.25,,,,4.0,6.5,7.5,,,8.8,N1,Ha Tinh
HT1204515,,7.0,8.25,,,,3.25,5.25,6.75,,,7.6,N1,Ha Tinh
HT1206574,,6.4,8.25,,,,4.5,7.75,9.25,,,3.8,N1,Ha Tinh
HT1204551,,8.2,8.25,,,,7.0,7.5,8.5,,,5.6,N1,Ha Tinh
HT1206581,,7.6,8.25,,,,9.5,9.0,9.5,,,5.0,N1,Ha Tinh
HT1207773,,5.4,8.25,,,,8.75,9.5,8.25,,,3.2,N1,Ha Tinh
HT1206787,,4.0,8.25,,,,4.75,6.0,8.5,,,2.0,N1,Ha Tinh
HT1206837,,4.8,8.25,,,,7.25,8.0,8.75,,,2.6,N1,Ha Tinh
HT1205796,,6.8,8.25,,,,8.75,8.75,9.0,,,4.2,N1,Ha Tinh
HT1208012,,7.4,8.25,,,,4.5,7.25,8.75,,,4.2,N1,Ha Tinh
HT1200150,,8.6,8.25,,,,3.75,6.0,8.0,,,9.0,N1,Ha Tinh
HT1207586,,5.8,8.25,,,,7.5,6.5,8.25,,,3.0,N1,Ha Tinh
HT1202203,,5.2,8.25,,,,4.25,5.25,6.75,,,3.6,N1,Ha Tinh
HT1202649,,3.6,8.25,,,,9.25,9.25,8.0,,,4.4,N1,Ha Tinh
HT1202217,,7.4,8.25,,,,3.5,7.0,8.25,,,8.4,N1,Ha Tinh
HT1201551,,8.4,8.25,7.75,5.0,4.5,,,,,,9.6,N1,Ha Tinh
HT1204527,,9.2,8.25,,,,6.25,8.0,8.0,,,9.8,N1,Ha Tinh
HT1200768,,2.4,8.25,,,,4.75,3.25,7.25,,,2.6,N1,Ha Tinh
HT1200975,,7.4,8.25,,,,2.0,6.5,8.75,,,5.8,N1,Ha Tinh
